altman_score,piotroski_score,involvement_msci.Controversial Weapons,involvement_msci.Gambling,involvement_msci.Tobacco Products,involvement_msci.Alcoholic Beverages,Controversies_score_ESG,global_target_aligned,SBTI_reduction_aligned,Tempurature_aligned
0.68,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.81,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1.17,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.45,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.46,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.58,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.14,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.21,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.3,4.0,0.0,0.0,0.0,0.0,0.0,1,0,1
0.25,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1.24,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
46.22,5.0,0.0,0.0,0.0,0.0,4.0,0,0,0
7.68,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.9,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
16.64,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
32.64,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
9.33,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-0.12,1.0,0.0,0.0,0.0,0.0,4.0,1,1,0
0.75,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.03,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.84,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9.29,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.78,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.88,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-17.93,2.0,0.0,0.0,0.0,0.0,0.0,1,1,1
0.26,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8.41,6.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.27,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
4.44,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
15.31,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
17.44,7.0,0.0,0.0,0.0,0.0,2.0,0,0,0
-11.15,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.2,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.97,3.0,0.0,0.0,0.0,0.0,0.0,1,1,0
36.47,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.08,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35.88,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.26,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.12,6.0,0.0,0.0,0.0,0.0,2.0,0,0,0
9.16,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
